owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,package_downloads_start,package_downloads_end,package_downloads_growth_rate,package_downloads_growth_percentile,package_downloads_final_weight
O_kgDOCE9tcA,OpenRouterTeam,OpenRouter,https://github.com/OpenRouterTeam,https://openrouter.ai,The unified interface for LLMs. Find the best models & prices for your prompts.,https://avatars.githubusercontent.com/u/139423088?v=4,2026-01-01,2026-04-01,2080.0,2545.0,0.2235576923076923,96.98225712623618,1.0,49.0,76.0,0.5510204081632653,98.7282746926664,1.0,8225726.0,20328630.0,1.4713478178096375,98.11625403659848,1.0
O_kgDODUlFSA,vinkius-labs,Vinkius Labs,https://github.com/vinkius-labs,https://vinkius.com/en/labs,High-performance open-source tools and enterprise-grade execution engines. Architecting the context layer for AI-native engineering teams.,https://avatars.githubusercontent.com/u/222905672?v=4,2026-01-01,2026-04-01,2486.0,2739.0,0.1017699115044247,91.95753344968006,1.0,3.0,3.0,-0.7,,,0.0,65582.0,5.5582,99.64119124506638,1.0
MDEyOk9yZ2FuaXphdGlvbjQ2ODE5NA==,OpenMind,OpenMind,https://github.com/OpenMind,https://openmind.com,,https://avatars.githubusercontent.com/u/468194?v=4,2026-01-01,2026-04-01,2349.0,2737.0,0.1651766709237973,95.6151832460733,1.0,45.0,115.0,1.5555555555555556,99.69266638406104,1.0,,,,,
O_kgDODMwHFw,CaviraOSS,Cavira,https://github.com/CaviraOSS,,Building unbeatable OSS tools for the community,https://avatars.githubusercontent.com/u/214697751?v=4,2026-01-01,2026-04-01,3786.0,5456.0,0.4410987849973587,98.60383944153578,1.0,26.0,34.0,0.3076923076923077,97.09622721492158,1.0,9860.0,27306.0,1.7306,98.43918191603876,1.0
MDEyOk9yZ2FuaXphdGlvbjExOTI5MTMz,strongdm,strongdm,https://github.com/strongdm,,,https://avatars.githubusercontent.com/u/11929133?v=4,2026-01-01,2026-04-01,1651.0,3488.0,1.1126589945487584,99.49825479930192,1.0,8.0,17.0,0.7,99.13628656210258,1.0,879.0,1908.0,-0.8092,,
O_kgDOCqMWYw,FireRedTeam,FireRedTeam,https://github.com/FireRedTeam,,小红书Super Intelligence部门下属基础算法实验室， Xiaohongshu Super Intelligence fundamental technology lab,https://avatars.githubusercontent.com/u/178460259?v=4,2026-01-01,2026-04-01,3436.0,7563.0,1.201105937136205,99.56369982547992,1.0,17.0,28.0,0.6470588235294118,98.97202204323868,1.0,0.0,1737.0,-0.8263,,
O_kgDODIFsRQ,lemonade-sdk,lemonade-sdk,https://github.com/lemonade-sdk,,,https://avatars.githubusercontent.com/u/209808453?v=4,2026-01-01,2026-04-01,2099.0,3596.0,0.7131967603620771,99.2219313554392,1.0,35.0,68.0,0.9428571428571428,99.37473505722764,1.0,,,,,
MDEyOk9yZ2FuaXphdGlvbjE0MTI3MzA4,EbookFoundation,Free Ebook Foundation,https://github.com/EbookFoundation,https://ebookfoundation.org/,Making the world safe for free ebooks.,https://avatars.githubusercontent.com/u/14127308?v=4,2026-01-01,2026-04-01,382837.0,387800.0,0.0129637417490994,39.92146596858639,1.0,17.0,47.0,1.7647058823529411,99.72445951674436,1.0,,,,,
O_kgDODO6CtQ,FluidInference,Fluid Inference,https://github.com/FluidInference,https://fluidinference.com,intelligence everywhere ,https://avatars.githubusercontent.com/u/216957621?v=4,2026-01-01,2026-04-01,1478.0,2131.0,0.4418132611637347,98.61838278068645,1.0,23.0,50.0,1.173913043478261,99.5442984315388,1.0,0.0,232.0,-0.9768,,
O_kgDODSGzfA,BIT-DataLab,BIT-DataLab,https://github.com/BIT-DataLab,,"BIT-DataLab: Official repository of the Data Lab at the School of Computer Science, Beijing Institute of Technology. Led by Prof. Chengliang Chai.",https://avatars.githubusercontent.com/u/220312444?v=4,2026-01-01,2026-04-01,1379.0,6156.0,3.4641044234952862,99.87638161721932,1.0,4.0,9.0,-0.1,,,,,,,
